"%Data file recorded 2013/5/15  17:17:54"
"% recording topics: ['/Velocity', '/robotState', '/robotGyro', '/visualTracker/markerPose']"
"% Columns: "
"% seq0 | time1 | LPos2 | RPos3 | LPWM4 | RPWM5| GyroX6 | GryoY7 | GryoZ8 | GryoZAvg9 | AX10 | AY11 | AZ12 |LEMF13 | REMF14 | optX15 optY16 optAng17 | Vel18 Ang19"
79342.000, 1.294, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.030
79343.000, 1.334, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.030
79344.000, 1.377, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.031
79345.000, 1.416, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.269,-5.031
79346.000, 1.456, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.953,-0.059, 1.473, 0.269,-5.031
79347.000, 1.494, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.031
79348.000, 1.534, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.269,-5.032
79349.000, 1.574, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.269,-5.032
79350.000, 1.614, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.269,-5.032
79351.000, 1.653, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.474, 0.269,-5.032
79352.000, 1.696, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.033
79353.000, 1.736, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.032
79354.000, 1.774, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.032
79355.000, 1.814, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.031
79356.000, 1.853, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.952,-0.059, 1.473, 0.268,-5.032
