# ['%Data file recorded 2013/5/13  11:56:33']
# ["% recording topics: ['/Velocity', '/robotState', '/robotGyro', '/optitrack/pose']"]
# ['% Columns: ']
# ['% seq0 | time1 | LPos2 | RPos3 | LPWM4 | RPWM5| GyroX6 | GryoY7 | GryoZ8 | GryoZAvg9 | AX10 | AY11 | AZ12 |LEMF13 | REMF14 | optX15 optY16 optAng17 | Vel18 Ang19']
 42.275   0.023  -0.022  -721   193    -6    -1    -2     0  3385    43  1158     4    -5   0.450   0.000   0.000   0.750   0.000  
 42.376   0.027  -0.001  -456   236    -4    -2    -2     0  3391    33  1127    -7    -8   0.450   0.000   0.000   0.750   0.000  
 42.476   0.003   0.000  -450   -90    -7    -1    -1     0  3372    69  1154    -6     5   0.450   0.000   0.000   0.750   0.000  
 42.577   0.025  -0.000  -437   -39    -7    -3    -3     0  3377    36  1143    -8     3   0.450   0.000   0.000   0.750   0.000  
 42.678   0.026  -0.024  -793   173    -4    -2    -4     0  3421   -13  1156     6    -4   0.450   0.000   0.000   0.750   0.000  
 42.780   0.026   0.001  -598  -115    -5    -3     0     0  3395    50  1134    -2     6   0.450   0.000   0.000   0.750   0.000  
 42.881   0.026   0.002  -602   110    -8    -2     0     0  3403    83  1150    -2    -3   0.450   0.000   0.000   0.750   0.000  
 42.983   0.003  -0.026  -722   -73    -5     1    -4     0  3435    22  1140     4     6   0.450   0.000   0.000   0.750   0.000  
 43.187   0.027   0.002  -644   111    -7    -4     0     0  3384    55  1147    -1    -3   0.450   0.000   0.000   0.750   0.000  
 43.287   0.026   0.000  -448   -86    -5    -2    -3     0  3375    13  1159    -9     5   0.450   0.000   0.000   0.750   0.000  
 43.388   0.029   0.001  -755    63    -4    -3    -1     0  3412    14  1160     3    -1   0.450   0.000   0.000   0.750   0.000  
 43.489   0.025   0.001  -455   -11    -7    -3    -2     0  3408    44  1141    -9     2   0.450   0.000   0.000   0.750   0.000  
 43.590   0.026  -0.001  -462   242    -6    -3     0     0  3362    35  1131    -9    -8   0.450   0.000   0.000   0.750   0.000  
 43.691  -0.001   0.001  -674    40    -6    -3    -2     0  3398    27  1151     1     0   0.450   0.000   0.000   0.750   0.000  
 43.791   0.026  -0.001  -520  -132    -5    -2    -2     0  3371    42  1143    -7     7   0.450   0.000   0.000   0.750   0.000  
 43.893   0.028   0.001  -878    91    -5    -1    -2     0  3402    38  1136     7    -2   0.450   0.000   0.000   0.750   0.000  
 43.994   0.025   0.001  -604   216    -5     0     0     0  3397    51  1150    -4    -7   0.450   0.000   0.000   0.750   0.000  
 44.095   0.001  -0.002  -722   121    -5    -1    -2     0  3387    35  1143     2    -3   0.450   0.000   0.000   0.750   0.000  
 44.196   0.026  -0.000  -564   244    -6    -3    -1     0  3428    61  1150    -6    -8   0.450   0.000   0.000   0.750   0.000  
 44.297   0.027   0.000  -846   145    -6    -1    -1     0  3373    48  1156     5    -4   0.450   0.000   0.000   0.750   0.000  
 44.398   0.028   0.000  -503   220    -6    -3    -2     0  3378    43  1150    -9    -7   0.450   0.000   0.000   0.750   0.000  
 44.500   0.027  -0.000  -556   121    -4    -1    -2     0  3414    23  1161    -7    -3   0.450   0.000   0.000   0.750   0.000  
 44.601   0.002   0.000  -772  -129    -5    -2    -1     0  3366    16  1140     3     7   0.450   0.000   0.000   0.750   0.000  
 44.703   0.026   0.002  -890   169    -6    -4    -2     0  3394    58  1158     6    -5   0.450   0.000   0.000   0.750   0.000  
 44.804   0.025   0.002  -543   245    -2    -1    -3     0  3383    16  1151    -8    -8   0.450   0.000   0.000   0.750   0.000  
 44.905   0.028   0.000  -526  -102    -6    -1    -1     0  3380    15  1161    -9     6   0.450   0.000   0.000   0.750   0.000  
 45.007   0.026   0.000  -553   -77    -6    -4    -1     0  3393    56  1154    -8     5   0.450   0.000   0.000   0.750   0.000  
 45.109   0.025   0.000  -782   -76    -3    -2    -3     0  3383    42  1148     1     5   0.450   0.000   0.000   0.750   0.000  
 45.210   0.028   0.000  -1271  1399    -5    -2    -1     0  3379     7  1145    -6    -2   0.450   0.000   0.000   0.750   0.000  
 45.414   0.026  -0.002  -1253  1202    -4    -4    -2     0  3400    27  1164    -7     6   0.450   0.000   0.000   0.750   0.000  
 45.515   0.025   0.001  -1581  1199    -5    -3     0     0  3360    36  1129     6     6   0.450   0.000   0.000   0.750   0.000  
 45.616   0.028  -0.001  -1571  1551    -6    -1    -1     0  3374    41  1173     6    -8   0.450   0.000   0.000   0.750   0.000  
 45.717   0.027   0.001  -1450  1398    -5    -4    -3     0  3394    30  1158     1    -2   0.450   0.000   0.000   0.750   0.000  
 45.819   0.027  -0.023  -1229  1261    -4    -3    -1     0  3381    41  1112    -8     5   0.450   0.000   0.000   0.750   0.000  
 45.920   0.026   0.001  -1233  1549    -6    -1    -1     0  3399    44  1136    -8    -8   0.450   0.000   0.000   0.750   0.000  
 46.023   0.026  -0.025  -1244  1513    -5    -2    -1     0  3400    39  1156    -7    -5   0.450   0.000   0.000   0.750   0.000  
 46.124   0.028  -0.023  -1201  1410    -5    -2    -1     0  3378    50  1154    -9    -1   0.450   0.000   0.000   0.750   0.000  
 46.225   0.026  -0.001  -1504  1452    -5    -2    -1     0  3400    34  1153     3    -4   0.450   0.000   0.000   0.750   0.000  
 46.326   0.025   0.001  -1457  1449    -6    -2    -1     0  3392    20  1139     1    -4   0.450   0.000   0.000   0.750   0.000  
 46.427   0.000  -0.001  -1154  1551    -6    -3    -2     0  3400    39  1152    -9    -8   0.450   0.000   0.000   0.750   0.000  
 46.529   0.028  -0.000  -1226  1550    -4     0    -1     0  3429    24  1142    -8    -8   0.450   0.000   0.000   0.750   0.000  
 46.630   0.024  -0.001  -1199  1352    -7    -4     0     0  3408    51  1158    -9     0   0.450   0.000   0.000   0.750   0.000  
 46.734   0.026  -0.002  -1333  1328    -5    -2    -3     0  3393    19  1135    -4     1   0.450   0.000   0.000   0.750   0.000  
 46.835   0.024   0.000  -1515  1375    -4    -1     1     0  3397    38  1134     4    -1   0.450   0.000   0.000   0.750   0.000  
 46.936   0.026  -0.000  -1222  1401    -6    -4    -2     0  3413    51  1177    -8    -2   0.450   0.000   0.000   0.750   0.000  
 47.037   0.026  -0.000  -1202  1476    -5    -3    -1     0  3396    48  1131    -9    -5   0.450   0.000   0.000   0.750   0.000  
 47.139   0.001  -0.001  -1419  1278    -6    -4    -1     0  3389    31  1162     1     3   0.450   0.000   0.000   0.750   0.000  
 47.240   0.025  -0.001  -1567  1501    -5    -3    -2     0  3393    25  1159     6    -6   0.450   0.000   0.000   0.750   0.000  
 47.342   0.026  -0.025  -1572  1464    -4    -2    -3     0  3387    29  1157     6    -3   0.450   0.000   0.000   0.750   0.000  
 47.443   0.028  -0.023  -1530  1586    -5    -4    -2     0  3397    39  1151     4    -8   0.450   0.000   0.000   0.750   0.000  
 47.545   0.026  -0.002  -1582  1179    -4     0    -1     0  3397    24  1145     6     7   0.450   0.000   0.000   0.750   0.000  
 47.646   0.004  -0.025  -1409  1538    -7    -4    -3     0  3418    58  1147     1    -6   0.450   0.000   0.000   0.750   0.000  
 47.747   0.028   0.001  -1451  1548    -5    -4    -2     0  3382    31  1158     1    -8   0.450   0.000   0.000   0.750   0.000  
 47.849   0.027  -0.026  -1380  1514    -6    -2    -2     0  3395    29  1157    -2    -5   0.450   0.000   0.000   0.750   0.000  
